Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
29981,The Island of Dr. Moreau,H.G. Wells,"Wells, H.G.",Alan Lightman,"=""0553214322""","=""9780553214321""",0,Bantam Classic & Loveswept,Unknown Binding,160,1999,1896,,2025/08/25,to-read,to-read (#412),to-read,,,,0,0
55817233,The Netanyahus,Joshua Cohen,"Cohen, Joshua",,"=""1913097609""","=""9781913097608""",5,Fitzcarraldo Editions,Paperback,240,2021,2021,,2023/10/21,,,read,,,,1,0
9003323,A Supposedly Fun Thing I'll Never Do Again: Essays and Arguments,David Foster Wallace,"Wallace, David Foster",,"=""""","=""""",4,Back Bay Books,Kindle Edition,378,2009,1997,2025/07/01,2023/10/04,,,read,,,,1,0
406373,Faust,Johann Wolfgang von Goethe,"Goethe, Johann Wolfgang von",Walter Kaufmann,"=""0385031149""","=""9780385031141""",0,Vintage,Paperback,503,1962,1808,,2025/05/21,to-read,to-read (#407),to-read,,,,0,0
16810,The Berlin Stories,Christopher Isherwood,"Isherwood, Christopher",,"=""0811200701""","=""9780811200707""",0,New Directions,Paperback,401,1963,1945,,2025/05/31,to-read,to-read (#411),to-read,,,,0,0
55801224,Helgoland: Making Sense of the Quantum Revolution,Carlo Rovelli,"Rovelli, Carlo","Erica Segre, Simon Carnell","=""0593328884""","=""9780593328880""",0,Riverhead Books,Hardcover,233,2021,2020,,2025/05/25,to-read,to-read (#410),to-read,,,,0,0
199956815,Until August,Gabriel García Márquez,"Márquez, Gabriel García",,"=""1039055745""","=""9781039055742""",0,Knopf Canada,Kindle Edition,114,2024,2024,,2025/05/22,to-read,to-read (#409),to-read,,,,0,0
89177,The Thought Gang,Tibor Fischer,"Fischer, Tibor",,"=""0684830795""","=""9780684830797""",0,Scribner,Paperback,320,1997,1994,,2025/05/22,to-read,to-read (#408),to-read,,,,0,0
6656,The Divine Comedy: Inferno - Purgatorio - Paradiso,Dante Alighieri,"Alighieri, Dante","Allen Mandelbaum, Eugenio Montale, Peter Armour, Sandro Botticelli","=""0679433139""","=""9780679433132""",0,Everyman's Library,Hardcover,798,1995,1320,,2025/05/21,to-read,to-read (#406),to-read,,,,0,0
1381,The Odyssey,Homer,"Homer, Homer","Robert Fagles, Bernard Knox","=""0143039954""","=""9780143039952""",5,Penguin Classics ,Paperback,541,2006,-700,,2020/05/24,,,read,,,,1,0
46182,In Watermelon Sugar,Richard Brautigan,"Brautigan, Richard",,"=""0099437597""","=""9780099437598""",2,Random House,Paperback,144,2002,1968,,2021/01/01,,,read,,,,1,0
48037,Carmilla,J. Sheridan Le Fanu,"Fanu, J. Sheridan Le",Karl Wurf,"=""0809510839""","=""9780809510832""",5,Wildside Press,Paperback,108,2000,1872,,2021/09/14,,,read,,,,1,0
210223811,Katabasis,R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",0,HarperVoyager,Kindle Edition,559,2025,2025,,2025/05/19,to-read,to-read (#405),to-read,,,,0,0
53715290,Bad Medicine: Catching New York's Deadliest Pill Pusher,Charlotte Bismuth,"Bismuth, Charlotte",,"=""1982116447""","=""9781982116446""",0,Atria/One Signal Publishers,Kindle Edition,368,2021,2021,,2025/05/19,to-read,to-read (#404),to-read,,,,0,0
135060,Hadji Murád,Leo Tolstoy,"Tolstoy, Leo","Aylmer Maude, Sasha Newborn, Raúl Bracho","=""1602060134""","=""9781602060135""",0,Cosimo Classics,Paperback,100,2006,1912,,2025/05/17,to-read,to-read (#403),to-read,,,,0,0
6334,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""1400078776""","=""9781400078776""",0,Vintage Books ,Paperback,288,2010,2005,,2025/05/12,to-read,to-read (#402),to-read,,,,0,0
60774812,Atomic Family,Ciera Horton McElroy,"McElroy, Ciera Horton",,"=""1949467945""","=""9781949467949""",0,Blair,Hardcover,263,2023,2023,,2025/05/08,to-read,to-read (#401),to-read,,,,0,0
434903,The Rings of Saturn,W.G. Sebald,"Sebald, W.G.",Michael Hulse,"=""0811214133""","=""9780811214131""",0,New Directions,Paperback,296,1999,1995,,2025/05/06,to-read,to-read (#400),to-read,,,,0,0
49766169,Good Old Neon,David Foster Wallace,"Wallace, David Foster",,"=""""","=""""",5,"Little, Brown and Company",Unknown Binding,40,2004,,,2025/04/12,,,read,,,,1,0
6001011,Rooftops of Tehran,Mahbod Seraji,"Seraji, Mahbod",,"=""045122681X""","=""9780451226815""",0,NAL,Paperback,348,2009,2009,,2025/04/10,to-read,to-read (#399),to-read,,,,0,0
220459559,Algospeak: How Social Media Is Transforming the Future of Language,Adam Aleksic,"Aleksic, Adam",,"=""0593804082""","=""9780593804087""",0,Knopf,Kindle Edition,247,2025,2025,,2025/04/10,to-read,to-read (#398),to-read,,,,0,0
38458438,The Houseguest and Other Stories,Amparo Dávila,"Dávila, Amparo","Matthew Gleeson, Audrey Harris","=""0811228215""","=""9780811228213""",0,New Directions,Paperback,144,2018,2018,,2025/04/07,to-read,to-read (#397),to-read,,,,0,0
16147399,Axolotl,Julio Cortázar,"Cortázar, Julio",,"=""""","=""""",0,Punto de Lectura,Unknown Binding,7,,1956,,2025/04/07,to-read,to-read (#396),to-read,,,,0,0
59924,The Lathe of Heaven,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0060512741""","=""9780060512743""",0,Harper Perennial Modern Classics,Paperback,176,2003,1971,,2025/04/07,to-read,to-read (#395),to-read,,,,0,0
762390,The Hour of the Star,Clarice Lispector,"Lispector, Clarice",Giovanni Pontiero,"=""0811211908""","=""9780811211901""",0,New Directions,Paperback,96,1992,1977,,2025/04/07,to-read,to-read (#394),to-read,,,,0,0
30763882,Fever Dream,Samanta Schweblin,"Schweblin, Samanta","Megan McDowell, Ruth Sepp","=""0399184597""","=""9780399184598""",0,Riverhead Books,Hardcover,183,2017,2014,,2025/04/06,to-read,to-read (#393),to-read,,,,0,0
497499,The Door,Magda Szabó,"Szabó, Magda",Len Rix,"=""1843431939""","=""9781843431930""",0,Harvill Press,Paperback,262,2005,1987,,2025/04/06,to-read,to-read (#392),to-read,,,,0,0
10746542,The Sense of an Ending,Julian Barnes,"Barnes, Julian",,"=""0224094157""","=""9780224094153""",0,Jonathan Cape,Hardcover,150,2011,2011,,2025/04/06,to-read,to-read (#391),to-read,,,,0,0
